Altitude,Pression,Temperature,Densite
-112.5100,15.99400,389,1.13990
-113.0300,16.13300,390,1.14680
-113.5400,16.27200,391,1.15380
-114.0500,16.41200,392,1.16080
-114.5700,16.55300,393,1.16780
-115.0800,16.69500,394,1.17490
-115.6000,16.83800,395,1.18190
-116.1100,16.98200,396,1.18910
-116.6200,17.12600,397,1.19620
-117.1400,17.27100,398,1.20330
-117.6500,17.41800,399,1.21050
-118.1700,17.56500,400,1.21770
-118.6800,17.71300,401,1.22500
-119.2000,17.86200,402,1.23220
-119.7100,18.01100,403,1.23950
-120.2200,18.16200,404,1.24680
-120.7400,18.31300,405,1.25410
-121.2500,18.46600,406,1.26150
-121.7600,18.61900,407,1.26890
-122.2800,18.77300,408,1.27630
-122.7900,18.92800,409,1.28370
-123.3000,19.08400,410,1.29120
-123.8200,19.24100,411,1.29870
-124.3300,19.39900,412,1.30620
-124.8500,19.55800,413,1.31380
-125.3600,19.71700,414,1.32130
-125.8700,19.87800,415,1.32890
-126.3900,20.04000,416,1.33660
-126.9000,20.20200,417,1.34420
-127.4100,20.36500,418,1.35190
-127.9300,20.53000,419,1.35960
-128.4400,20.69500,420,1.36730
-128.9500,20.86100,421,1.37510
-129.4700,21.02800,422,1.38290
-129.9800,21.19600,423,1.39070
-130.4900,21.36500,424,1.39850
-131.0100,21.53500,425,1.40640
-131.5200,21.70600,426,1.41430
-132.0300,21.87700,427,1.42220
