Altitude,Pression,Temperature,Densite
396.810,1.5410e-04,361.90,1.1050e-08
392.600,1.6550e-04,344.20,1.2520e-08
388.390,1.7840e-04,324.00,1.4390e-08
384.200,1.9340e-04,302.90,1.6750e-08
380.010,2.1070e-04,289.30,1.9160e-08
375.840,2.3040e-04,276.50,2.2000e-08
371.670,2.5290e-04,268.10,2.4990e-08
367.510,2.7840e-04,258.20,2.8670e-08
363.360,3.0840e-04,241.10,3.4120e-08
359.220,3.4370e-04,230.50,3.9920e-08
355.090,3.8340e-04,230.60,4.4680e-08
350.970,4.3120e-04,208.60,5.5740e-08
346.860,4.8790e-04,204.50,6.4530e-08
342.760,5.5370e-04,200.20,7.4980e-08
338.670,6.2960e-04,197.50,8.6620e-08
334.590,7.1790e-04,193.10,1.0130e-07
330.520,8.2000e-04,192.40,1.1640e-07
326.450,9.3550e-04,195.30,1.3110e-07
322.400,1.0660e-03,196.50,1.4870e-07
318.350,1.2150e-03,194.30,1.7170e-07
314.320,1.3830e-03,200.10,1.9010e-07
310.290,1.5690e-03,204.30,2.1150e-07
306.280,1.7750e-03,207.20,2.3630e-07
302.270,2.0110e-03,197.10,2.8160e-07
298.270,2.3170e-03,169.40,3.7810e-07
294.290,2.6850e-03,171.90,4.3190e-07
290.310,3.1300e-03,160.10,5.4090e-07
286.340,3.6840e-03,152.70,6.6790e-07
282.380,4.3430e-03,154.20,7.8030e-07
278.430,5.1220e-03,153.40,9.2510e-07
274.500,6.0100e-03,160.30,1.0400e-06
270.570,7.0220e-03,160.80,1.2110e-06
266.650,8.2470e-03,152.50,1.5010e-06
262.740,9.7390e-03,149.70,1.8050e-06
258.840,1.1500e-02,151.70,2.1030e-06
254.950,1.3530e-02,155.00,2.4240e-06
251.070,1.5830e-02,160.80,2.7330e-06
247.200,1.8460e-02,161.00,3.1840e-06
243.340,2.1580e-02,156.80,3.8210e-06
239.490,2.5280e-02,155.60,4.5100e-06
235.650,2.9580e-02,156.80,5.2390e-06
231.820,3.4650e-02,155.20,6.2000e-06
228.000,4.0500e-02,158.60,7.0920e-06
224.190,4.7160e-02,160.70,8.1530e-06
220.400,5.5040e-02,156.60,9.7660e-06
216.610,6.4130e-02,160.10,1.1130e-05
212.840,7.4720e-02,157.90,1.3150e-05
209.080,8.6980e-02,159.50,1.5150e-05
205.330,1.0120e-01,158.60,1.7720e-05
201.600,1.1780e-01,157.50,2.0780e-05
197.880,1.3700e-01,158.70,2.3980e-05
194.170,1.5930e-01,158.50,2.7910e-05
190.480,1.8460e-01,161.50,3.1750e-05
186.800,2.1420e-01,157.50,3.7780e-05
183.150,2.4840e-01,159.00,4.3420e-05
179.510,2.8810e-01,157.40,5.0870e-05
175.880,3.3400e-01,158.60,5.8520e-05
172.280,3.8580e-01,162.30,6.6060e-05
168.700,4.4420e-01,165.10,7.4730e-05
165.150,5.0900e-01,169.70,8.3350e-05
161.620,5.8230e-01,168.30,9.6150e-05
158.110,6.6560e-01,168.80,1.0960e-04
154.630,7.5990e-01,168.70,1.2520e-04
151.190,8.6670e-01,168.00,1.4330e-04
147.780,9.8880e-01,165.40,1.6610e-04
144.410,1.1280e+00,164.60,1.9040e-04
141.080,1.2850e+00,162.80,2.1940e-04
137.790,1.4670e+00,157.50,2.5880e-04
134.560,1.6750e+00,157.30,2.9590e-04
131.380,1.9090e+00,156.20,3.3950e-04
128.260,2.1710e+00,155.60,3.8760e-04
125.210,2.4660e+00,153.30,4.4700e-04
122.230,2.7990e+00,150.30,5.1730e-04
119.330,3.1700e+00,149.80,5.8800e-04
116.510,3.5780e+00,150.10,6.6230e-04
113.780,4.0230e+00,150.20,7.4420e-04
111.150,4.5000e+00,152.20,8.2150e-04
108.620,5.0070e+00,153.20,9.0800e-04
106.190,5.5470e+00,152.50,1.0110e-03
103.860,6.1200e+00,153.70,1.1070e-03
101.640,6.7110e+00,156.20,1.1940e-03
99.519,7.3190e+00,158.50,1.2830e-03
97.501,7.9430e+00,159.60,1.3830e-03
95.583,8.5800e+00,160.60,1.4840e-03
93.762,9.2320e+00,160.10,1.6020e-03
92.035,9.8980e+00,159.70,1.7220e-03
90.399,1.0580e+01,158.40,1.8550e-03
88.849,1.1270e+01,157.80,1.9840e-03
87.383,1.1970e+01,156.50,2.1250e-03
85.996,1.2670e+01,154.60,2.2770e-03
84.685,1.3390e+01,153.40,2.4250e-03
83.444,1.4110e+01,151.50,2.5880e-03
82.271,1.4840e+01,148.40,2.7790e-03
81.162,1.5580e+01,147.30,2.9370e-03
80.112,1.6320e+01,144.00,3.1480e-03
79.118,1.7070e+01,142.10,3.3370e-03
78.177,1.7820e+01,140.00,3.5370e-03
77.285,1.8570e+01,139.30,3.7030e-03
76.439,1.9320e+01,136.20,3.9420e-03
75.635,2.0080e+01,133.30,4.1850e-03
74.871,2.0840e+01,132.20,4.3800e-03
74.145,2.1580e+01,133.30,4.4980e-03
73.452,2.2320e+01,132.50,4.6810e-03
72.791,2.3050e+01,132.90,4.8200e-03
72.158,2.3770e+01,132.20,4.9960e-03
71.551,2.4490e+01,133.10,5.1100e-03
70.968,2.5180e+01,134.50,5.2030e-03
70.407,2.5870e+01,133.80,5.3740e-03
69.866,2.6550e+01,134.80,5.4750e-03
69.344,2.7230e+01,134.00,5.6440e-03
68.838,2.7910e+01,131.70,5.8890e-03
68.349,2.8580e+01,131.50,6.0410e-03
67.874,2.9260e+01,130.10,6.2510e-03
67.413,2.9940e+01,128.80,6.4570e-03
66.965,3.0620e+01,128.60,6.6160e-03
66.530,3.1300e+01,126.40,6.8790e-03
66.105,3.1990e+01,125.70,7.0690e-03
65.691,3.2680e+01,125.90,7.2150e-03
65.286,3.3360e+01,126.60,7.3200e-03
64.891,3.4040e+01,126.00,7.5090e-03
64.504,3.4720e+01,126.40,7.6340e-03
64.124,3.5400e+01,126.60,7.7720e-03
63.751,3.6080e+01,127.50,7.8600e-03
63.385,3.6750e+01,129.00,7.9140e-03
63.025,3.7420e+01,127.90,8.1310e-03
62.671,3.8100e+01,127.80,8.2860e-03
62.321,3.8780e+01,126.20,8.5380e-03
61.977,3.9470e+01,126.30,8.6860e-03
61.637,4.0160e+01,125.10,8.9230e-03
61.302,4.0870e+01,124.90,9.0890e-03
60.971,4.1570e+01,124.30,9.2950e-03
60.644,4.2290e+01,123.80,9.4900e-03
60.321,4.3010e+01,122.60,9.7440e-03
60.001,4.3740e+01,122.60,9.9150e-03
59.685,4.4470e+01,121.80,1.0150e-02
59.372,4.5220e+01,120.20,1.0460e-02
59.062,4.5990e+01,119.30,1.0710e-02
58.755,4.6760e+01,118.50,1.0970e-02
58.450,4.7540e+01,118.50,1.1150e-02
58.149,4.8330e+01,117.60,1.1420e-02
57.849,4.9140e+01,115.70,1.1800e-02
57.552,4.9960e+01,115.10,1.2060e-02
57.258,5.0800e+01,114.70,1.2300e-02
56.965,5.1640e+01,114.60,1.2520e-02
56.674,5.2500e+01,113.40,1.2870e-02
56.385,5.3380e+01,110.80,1.3390e-02
56.098,5.4280e+01,111.10,1.3580e-02
55.812,5.5190e+01,110.30,1.3910e-02
55.528,5.6120e+01,111.40,1.4000e-02
55.245,5.7050e+01,111.40,1.4230e-02
54.962,5.7980e+01,113.50,1.4190e-02
54.681,5.8920e+01,112.50,1.4560e-02
54.400,5.9880e+01,110.40,1.5070e-02
54.120,6.0880e+01,108.80,1.5550e-02
53.840,6.1870e+01,113.90,1.5100e-02
53.560,6.2860e+01,114.10,1.5310e-02
53.280,6.3860e+01,113.70,1.5610e-02
53.001,6.4880e+01,115.20,1.5650e-02
52.720,6.5910e+01,113.90,1.6080e-02
52.440,6.6970e+01,113.80,1.6350e-02
52.159,6.8040e+01,114.10,1.6560e-02
51.878,6.9140e+01,111.90,1.7170e-02
51.596,7.0270e+01,113.80,1.7150e-02
51.313,7.1420e+01,111.20,1.7850e-02
51.030,7.2590e+01,113.30,1.7800e-02
50.745,7.3770e+01,114.00,1.7980e-02
50.460,7.4970e+01,114.50,1.8200e-02
50.174,7.6200e+01,113.00,1.8740e-02
49.887,7.7450e+01,114.40,1.8810e-02
49.599,7.8720e+01,113.80,1.9220e-02
49.310,8.0020e+01,114.30,1.9450e-02
49.020,8.1340e+01,114.60,1.9720e-02
48.729,8.2700e+01,112.60,2.0420e-02
48.437,8.4100e+01,112.80,2.0720e-02
48.143,8.5510e+01,115.40,2.0580e-02
47.848,8.6900e+01,119.10,2.0270e-02
47.551,8.8360e+01,112.90,2.1750e-02
47.251,8.9890e+01,113.30,2.2040e-02
46.949,9.1420e+01,117.00,2.1710e-02
46.645,9.3010e+01,111.30,2.3220e-02
46.338,9.4650e+01,115.30,2.2810e-02
46.029,9.6310e+01,115.00,2.3280e-02
45.718,9.8040e+01,111.00,2.4540e-02
45.404,9.9830e+01,112.60,2.4640e-02
45.088,1.0160e+02,113.60,2.4860e-02
44.771,1.0350e+02,119.00,2.4160e-02
44.451,1.0530e+02,113.90,2.5690e-02
44.130,1.0730e+02,111.90,2.6630e-02
43.806,1.0930e+02,112.60,2.6970e-02
43.482,1.1130e+02,111.80,2.7670e-02
43.156,1.1350e+02,110.50,2.8530e-02
42.829,1.1560e+02,113.40,2.8320e-02
42.500,1.1780e+02,114.50,2.8590e-02
42.171,1.2000e+02,114.80,2.9040e-02
41.840,1.2230e+02,114.60,2.9640e-02
41.509,1.2460e+02,114.70,3.0190e-02
41.176,1.2700e+02,111.60,3.1600e-02
40.843,1.2940e+02,112.20,3.2060e-02
40.509,1.3190e+02,112.00,3.2720e-02
40.175,1.3450e+02,113.00,3.3080e-02
39.841,1.3710e+02,113.40,3.3590e-02
39.506,1.3970e+02,114.10,3.4010e-02
39.172,1.4240e+02,114.60,3.4520e-02
38.836,1.4520e+02,108.70,3.7120e-02
38.502,1.4800e+02,116.10,3.5400e-02
38.167,1.5080e+02,110.70,3.7870e-02
37.832,1.5370e+02,117.00,3.6530e-02
37.498,1.5670e+02,111.30,3.9120e-02
37.164,1.5980e+02,108.10,4.1080e-02
36.830,1.6300e+02,111.50,4.0620e-02
36.498,1.6620e+02,109.50,4.2150e-02
36.166,1.6940e+02,109.70,4.2920e-02
35.835,1.7280e+02,109.60,4.3800e-02
35.505,1.7620e+02,108.70,4.5060e-02
35.176,1.7970e+02,107.10,4.6630e-02
34.849,1.8320e+02,110.60,4.6020e-02
34.522,1.8680e+02,107.90,4.8100e-02
34.197,1.9040e+02,112.70,4.6940e-02
33.873,1.9400e+02,111.90,4.8160e-02
33.550,1.9770e+02,109.00,5.0380e-02
33.228,2.0140e+02,111.70,5.0120e-02
32.907,2.0520e+02,110.30,5.1700e-02
32.588,2.0900e+02,113.50,5.1180e-02
32.270,2.1290e+02,109.20,5.4180e-02
31.954,2.1690e+02,113.70,5.3000e-02
31.639,2.2080e+02,115.80,5.2980e-02
31.325,2.2480e+02,109.30,5.7130e-02
31.012,2.2890e+02,114.30,5.5650e-02
30.701,2.3300e+02,112.50,5.7530e-02
30.391,2.3720e+02,109.90,5.9990e-02
30.084,2.4150e+02,110.40,6.0790e-02
29.777,2.4590e+02,110.30,6.1920e-02
29.473,2.5030e+02,109.50,6.3500e-02
